"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.02.2022","1.391,31","1.463,81","1.481,54","1.386,07","-","-4,05%"
"17.02.2022","1.450,02","1.500,73","1.500,73","1.444,99","-","-4,89%"
"16.02.2022","1.524,51","1.533,26","1.544,59","1.513,99","-","1,77%"
"15.02.2022","1.498,04","1.458,13","1.509,90","1.442,91","-","5,05%"
"14.02.2022","1.426,09","1.412,16","1.456,73","1.391,19","-","-2,99%"
"11.02.2022","1.470,10","1.512,43","1.512,43","1.462,73","-","-4,96%"
"10.02.2022","1.546,79","1.532,20","1.547,25","1.513,69","-","0,78%"
"09.02.2022","1.534,82","1.506,87","1.534,82","1.506,12","-","3,06%"
"08.02.2022","1.489,18","1.462,44","1.489,18","1.458,32","-","3,04%"
"07.02.2022","1.445,20","1.458,68","1.465,38","1.432,79","-","0,64%"
"04.02.2022","1.436,00","1.441,85","1.474,32","1.432,31","-","0,28%"
"03.02.2022","1.431,99","1.449,67","1.449,67","1.418,43","-","-2,18%"
"02.02.2022","1.463,90","1.462,97","1.486,22","1.451,83","-","0,43%"
"01.02.2022","1.457,64","1.453,67","1.472,93","1.442,05","-","1,56%"
"31.01.2022","1.435,23","1.428,55","1.452,59","1.427,63","-","2,00%"
"28.01.2022","1.407,04","1.417,25","1.430,05","1.393,55","-","0,53%"
"27.01.2022","1.399,64","1.308,60","1.433,93","1.301,24","-","5,68%"
"26.01.2022","1.324,40","1.322,09","1.358,46","1.305,15","-","2,13%"
"25.01.2022","1.296,80","1.328,08","1.339,02","1.286,70","-","0,67%"
"24.01.2022","1.288,17","1.402,05","1.402,05","1.260,55","-","-8,11%"
"21.01.2022","1.401,88","1.419,09","1.441,48","1.393,78","-","-3,36%"
"20.01.2022","1.450,59","1.441,95","1.461,26","1.400,89","-","2,54%"
"19.01.2022","1.414,68","1.342,07","1.452,21","1.331,03","-","3,45%"
"18.01.2022","1.367,45","1.460,48","1.463,37","1.355,25","-","-7,29%"
"17.01.2022","1.474,99","1.501,15","1.517,35","1.445,67","-","-0,73%"
"14.01.2022","1.485,86","1.532,71","1.546,73","1.443,48","-","-2,05%"
"13.01.2022","1.516,99","1.611,11","1.613,60","1.513,77","-","-5,94%"
"12.01.2022","1.612,80","1.601,47","1.624,34","1.598,75","-","1,09%"
"11.01.2022","1.595,45","1.579,00","1.600,05","1.576,72","-","1,93%"
"10.01.2022","1.565,31","1.583,04","1.598,91","1.561,27","-","1,30%"
"06.01.2022","1.545,24","1.550,88","1.556,51","1.519,38","-","-2,58%"
"05.01.2022","1.586,20","1.612,90","1.614,06","1.582,70","-","-2,24%"
"04.01.2022","1.622,58","1.634,44","1.637,45","1.614,20","-","-0,01%"
"03.01.2022","1.622,75","1.603,68","1.640,39","1.603,68","-","1,69%"
"30.12.2021","1.595,76","1.590,27","1.597,12","1.579,55","-","0,38%"
"29.12.2021","1.589,74","1.609,44","1.612,56","1.586,45","-","-1,37%"
"28.12.2021","1.611,75","1.610,22","1.622,45","1.606,59","-","0,55%"
"27.12.2021","1.602,91","1.593,96","1.603,80","1.590,48","-","1,18%"
"24.12.2021","1.584,15","1.592,57","1.593,24","1.568,41","-","-0,23%"
"23.12.2021","1.587,87","1.606,55","1.608,84","1.581,76","-","-0,88%"
"22.12.2021","1.601,93","1.572,45","1.605,68","1.572,45","-","1,81%"
"21.12.2021","1.573,50","1.571,27","1.583,67","1.559,97","-","1,02%"
"20.12.2021","1.557,64","1.567,44","1.567,44","1.540,59","-","-1,61%"
"17.12.2021","1.583,05","1.600,46","1.600,46","1.576,44","-","-1,35%"
"16.12.2021","1.604,70","1.565,70","1.610,13","1.565,70","-","4,13%"
"15.12.2021","1.541,00","1.546,78","1.566,75","1.538,14","-","-0,50%"
"14.12.2021","1.548,81","1.515,84","1.558,20","1.514,57","-","0,05%"
"13.12.2021","1.548,09","1.624,67","1.628,53","1.546,82","-","-3,98%"
"10.12.2021","1.612,25","1.629,05","1.633,78","1.610,32","-","-1,24%"
"09.12.2021","1.632,54","1.619,52","1.644,78","1.617,77","-","1,23%"
"08.12.2021","1.612,73","1.662,51","1.669,68","1.612,73","-","-2,09%"
"07.12.2021","1.647,14","1.636,54","1.648,59","1.617,78","-","1,55%"
"06.12.2021","1.622,07","1.677,57","1.682,98","1.622,07","-","-2,77%"
"03.12.2021","1.668,26","1.695,11","1.700,57","1.667,15","-","-1,29%"
"02.12.2021","1.690,13","1.678,93","1.694,00","1.663,54","-","0,18%"
"01.12.2021","1.687,12","1.663,71","1.690,17","1.661,03","-","2,51%"
"30.11.2021","1.645,81","1.608,53","1.650,82","1.608,22","-","0,43%"
"29.11.2021","1.638,72","1.628,86","1.664,22","1.613,76","-","3,10%"
"26.11.2021","1.589,38","1.608,28","1.620,38","1.587,42","-","-4,58%"
"25.11.2021","1.665,74","1.671,42","1.686,27","1.659,38","-","0,31%"
"24.11.2021","1.660,59","1.696,69","1.704,31","1.650,55","-","-0,11%"
"23.11.2021","1.662,38","1.614,61","1.670,62","1.585,65","-","2,11%"
"22.11.2021","1.628,10","1.717,46","1.724,86","1.628,10","-","-5,55%"
"19.11.2021","1.723,74","1.781,88","1.785,72","1.714,82","-","-2,17%"
"18.11.2021","1.761,96","1.788,34","1.798,00","1.758,55","-","-2,25%"
"17.11.2021","1.802,52","1.777,65","1.803,76","1.773,75","-","1,98%"
"16.11.2021","1.767,58","1.799,37","1.806,44","1.764,64","-","-1,33%"
"15.11.2021","1.791,44","1.789,01","1.813,36","1.786,81","-","0,40%"
"12.11.2021","1.784,28","1.839,23","1.839,23","1.779,52","-","-3,79%"
"11.11.2021","1.854,48","1.830,95","1.854,57","1.826,58","-","0,05%"
"10.11.2021","1.853,64","1.864,05","1.870,35","1.847,15","-","-0,57%"
"09.11.2021","1.864,21","1.858,04","1.877,39","1.852,28","-","-0,07%"
"08.11.2021","1.865,46","1.857,38","1.865,46","1.848,81","-","0,94%"
"05.11.2021","1.848,10","1.831,86","1.853,20","1.824,53","-","1,17%"
"03.11.2021","1.826,65","1.841,90","1.844,21","1.820,25","-","-1,31%"
"02.11.2021","1.850,83","1.867,07","1.872,21","1.838,55","-","-0,87%"
"01.11.2021","1.866,98","1.838,95","1.870,43","1.838,95","-","1,26%"
"29.10.2021","1.843,83","1.872,94","1.872,96","1.829,85","-","-1,94%"
"28.10.2021","1.880,37","1.874,63","1.884,33","1.857,28","-","-0,58%"
"27.10.2021","1.891,28","1.910,30","1.914,54","1.879,33","-","-1,31%"
"26.10.2021","1.916,29","1.925,11","1.933,59","1.916,29","-","-0,17%"
"25.10.2021","1.919,58","1.885,10","1.919,58","1.879,69","-","2,21%"
"22.10.2021","1.877,99","1.869,19","1.901,91","1.867,48","-","0,53%"
"21.10.2021","1.868,16","1.897,21","1.900,99","1.865,38","-","-1,92%"
"20.10.2021","1.904,77","1.900,69","1.906,85","1.889,05","-","0,25%"
"19.10.2021","1.900,04","1.890,05","1.901,94","1.880,34","-","1,25%"
"18.10.2021","1.876,56","1.884,39","1.884,39","1.869,25","-","-0,79%"
"15.10.2021","1.891,56","1.888,52","1.893,71","1.878,47","-","0,83%"
"14.10.2021","1.875,97","1.875,38","1.890,46","1.873,37","-","1,12%"
"13.10.2021","1.855,11","1.869,05","1.869,05","1.835,80","-","-0,79%"
"12.10.2021","1.869,94","1.867,33","1.876,79","1.860,64","-","-0,66%"
"11.10.2021","1.882,43","1.871,73","1.883,71","1.867,58","-","1,15%"
"08.10.2021","1.860,96","1.852,83","1.866,89","1.845,19","-","0,38%"
"07.10.2021","1.853,99","1.840,11","1.856,58","1.818,69","-","2,17%"
"06.10.2021","1.814,64","1.854,48","1.854,97","1.808,41","-","-1,38%"
"05.10.2021","1.840,11","1.793,01","1.840,37","1.793,01","-","3,04%"
"04.10.2021","1.785,75","1.775,49","1.791,34","1.769,91","-","0,80%"
"01.10.2021","1.771,50","1.762,31","1.776,24","1.754,69","-","-0,35%"
"30.09.2021","1.777,74","1.768,12","1.780,94","1.758,65","-","1,21%"
"29.09.2021","1.756,52","1.750,65","1.764,93","1.747,59","-","0,01%"
"28.09.2021","1.756,26","1.785,05","1.788,01","1.749,61","-","-1,01%"
"27.09.2021","1.774,24","1.765,25","1.775,24","1.760,34","-","1,53%"
"24.09.2021","1.747,56","1.751,00","1.751,74","1.733,26","-","-0,32%"
"23.09.2021","1.753,21","1.752,72","1.759,01","1.741,41","-","0,34%"
"22.09.2021","1.747,31","1.730,06","1.747,31","1.728,48","-","2,13%"
"21.09.2021","1.710,90","1.710,61","1.721,10","1.704,51","-","0,60%"
"20.09.2021","1.700,66","1.717,05","1.718,55","1.695,03","-","-2,54%"
"17.09.2021","1.745,04","1.756,17","1.758,81","1.738,96","-","-0,60%"
"16.09.2021","1.755,64","1.768,68","1.772,83","1.748,76","-","-0,62%"
"15.09.2021","1.766,67","1.751,85","1.773,04","1.749,48","-","0,69%"
"14.09.2021","1.754,60","1.755,29","1.760,36","1.746,38","-","0,20%"
"13.09.2021","1.751,08","1.728,23","1.751,08","1.724,72","-","1,50%"
"10.09.2021","1.725,25","1.729,11","1.734,77","1.721,15","-","-0,06%"
"09.09.2021","1.726,37","1.723,35","1.733,71","1.715,14","-","-0,01%"
"08.09.2021","1.726,53","1.723,42","1.733,71","1.709,79","-","0,15%"
"07.09.2021","1.723,91","1.738,97","1.742,31","1.721,46","-","-0,75%"
"06.09.2021","1.737,01","1.729,36","1.738,74","1.728,88","-","0,16%"
"03.09.2021","1.734,16","1.719,43","1.734,16","1.713,13","-","0,44%"
"02.09.2021","1.726,61","1.720,56","1.728,79","1.713,97","-","0,67%"
"01.09.2021","1.715,09","1.689,29","1.716,51","1.689,29","-","1,84%"
"31.08.2021","1.684,16","1.689,93","1.694,19","1.678,18","-","-0,03%"
"30.08.2021","1.684,70","1.669,47","1.684,70","1.669,47","-","1,23%"
"27.08.2021","1.664,25","1.642,58","1.664,25","1.634,70","-","1,80%"
"26.08.2021","1.634,79","1.648,21","1.650,36","1.627,66","-","-1,14%"
"25.08.2021","1.653,56","1.660,78","1.663,39","1.647,57","-","-0,44%"
"24.08.2021","1.660,90","1.658,37","1.663,79","1.647,20","-","0,66%"
"23.08.2021","1.649,94","1.642,23","1.651,11","1.640,12","-","1,63%"
"20.08.2021","1.623,50","1.639,98","1.641,28","1.618,00","-","-0,74%"
"19.08.2021","1.635,63","1.651,73","1.651,83","1.630,90","-","-2,36%"
"18.08.2021","1.675,21","1.694,66","1.695,41","1.672,52","-","-0,86%"
"17.08.2021","1.689,76","1.669,15","1.690,23","1.669,02","-","0,94%"
"16.08.2021","1.674,09","1.657,91","1.674,09","1.654,47","-","0,46%"
"13.08.2021","1.666,44","1.662,83","1.670,60","1.660,41","-","0,05%"
"12.08.2021","1.665,56","1.661,65","1.670,41","1.659,57","-","0,57%"
"11.08.2021","1.656,20","1.651,30","1.659,87","1.638,97","-","0,59%"
"10.08.2021","1.646,47","1.647,57","1.653,89","1.640,21","-","0,33%"
"09.08.2021","1.641,07","1.625,53","1.647,88","1.623,35","-","0,50%"
"06.08.2021","1.632,87","1.655,13","1.655,52","1.629,81","-","-1,24%"
"05.08.2021","1.653,31","1.636,30","1.653,84","1.635,07","-","0,79%"
"04.08.2021","1.640,30","1.648,20","1.651,97","1.636,97","-","0,16%"
"03.08.2021","1.637,70","1.632,84","1.641,88","1.624,14","-","0,11%"
"02.08.2021","1.635,90","1.632,24","1.644,27","1.630,27","-","0,62%"
"30.07.2021","1.625,76","1.626,66","1.636,17","1.620,15","-","-0,83%"
"29.07.2021","1.639,35","1.630,24","1.639,35","1.628,76","-","1,42%"
"28.07.2021","1.616,34","1.601,49","1.616,34","1.599,17","-","1,36%"
"27.07.2021","1.594,64","1.603,27","1.607,61","1.593,43","-","-0,49%"
"26.07.2021","1.602,53","1.584,31","1.605,14","1.574,63","-","0,42%"
"23.07.2021","1.595,86","1.607,53","1.609,15","1.592,90","-","-0,24%"
"22.07.2021","1.599,74","1.597,81","1.605,78","1.592,45","-","0,86%"
"21.07.2021","1.586,12","1.573,65","1.587,20","1.564,29","-","1,20%"
"20.07.2021","1.567,28","1.565,35","1.573,31","1.551,73","-","0,51%"
"19.07.2021","1.559,40","1.587,95","1.587,95","1.552,48","-","-2,73%"
"16.07.2021","1.603,10","1.610,16","1.620,50","1.593,29","-","-0,56%"
"15.07.2021","1.612,08","1.624,02","1.629,49","1.608,89","-","-0,84%"
"14.07.2021","1.625,77","1.635,15","1.642,74","1.624,76","-","-1,40%"
"13.07.2021","1.648,84","1.650,95","1.653,21","1.631,73","-","0,53%"
"12.07.2021","1.640,22","1.634,62","1.643,94","1.622,69","-","0,32%"
"09.07.2021","1.635,04","1.631,37","1.644,08","1.628,07","-","0,45%"
"08.07.2021","1.627,64","1.628,91","1.629,46","1.608,27","-","-0,84%"
"07.07.2021","1.641,42","1.648,92","1.661,88","1.633,20","-","-0,22%"
"06.07.2021","1.644,99","1.676,35","1.682,69","1.643,67","-","-1,18%"
"05.07.2021","1.664,55","1.665,44","1.667,54","1.658,50","-","0,29%"
"02.07.2021","1.659,72","1.650,94","1.666,10","1.644,06","-","0,19%"
"01.07.2021","1.656,61","1.656,70","1.676,18","1.654,68","-","0,17%"
"30.06.2021","1.653,78","1.646,58","1.662,32","1.632,33","-","0,84%"
"29.06.2021","1.640,08","1.663,68","1.665,66","1.638,35","-","-1,78%"
"28.06.2021","1.669,75","1.673,18","1.681,18","1.667,10","-","-0,14%"
"25.06.2021","1.672,08","1.668,40","1.672,67","1.660,54","-","0,43%"
"24.06.2021","1.664,94","1.666,52","1.673,59","1.656,41","-","-0,08%"
"23.06.2021","1.666,21","1.661,13","1.671,72","1.655,29","-","1,25%"
"22.06.2021","1.645,59","1.650,49","1.652,42","1.638,95","-","0,19%"
"21.06.2021","1.642,39","1.637,74","1.646,30","1.627,28","-","-0,26%"
"18.06.2021","1.646,72","1.657,59","1.661,68","1.644,12","-","-1,06%"
"17.06.2021","1.664,38","1.651,90","1.674,03","1.649,57","-","-0,87%"
"16.06.2021","1.679,02","1.669,37","1.681,13","1.664,65","-","0,82%"
"15.06.2021","1.665,31","1.691,65","1.695,46","1.663,82","-","-1,31%"
"14.06.2021","1.687,37","1.679,91","1.688,11","1.673,62","-","0,52%"
"11.06.2021","1.678,57","1.686,05","1.692,47","1.676,86","-","0,07%"
"10.06.2021","1.677,36","1.673,27","1.686,58","1.666,56","-","0,16%"
"09.06.2021","1.674,75","1.668,10","1.678,95","1.660,91","-","1,10%"
"08.06.2021","1.656,46","1.651,13","1.660,72","1.645,30","-","0,21%"
"07.06.2021","1.652,99","1.644,74","1.655,16","1.637,06","-","0,36%"
"04.06.2021","1.647,06","1.636,67","1.649,03","1.619,27","-","0,64%"
"03.06.2021","1.636,51","1.650,35","1.652,10","1.625,55","-","-0,44%"
"02.06.2021","1.643,66","1.613,99","1.643,66","1.611,46","-","1,82%"
"01.06.2021","1.614,21","1.609,56","1.622,82","1.609,56","-","1,04%"
"31.05.2021","1.597,54","1.596,14","1.604,16","1.594,99","-","-0,39%"
"28.05.2021","1.603,79","1.605,78","1.607,50","1.593,69","-","0,01%"
"27.05.2021","1.603,67","1.588,99","1.604,16","1.583,07","-","0,82%"
"26.05.2021","1.590,58","1.585,98","1.592,95","1.581,51","-","0,63%"
"25.05.2021","1.580,69","1.581,61","1.584,61","1.574,87","-","0,62%"
"24.05.2021","1.570,90","1.570,13","1.573,83","1.558,74","-","0,09%"
"21.05.2021","1.569,55","1.557,24","1.574,38","1.549,37","-","0,69%"
"20.05.2021","1.558,72","1.558,53","1.562,71","1.541,08","-","0,37%"
"19.05.2021","1.552,91","1.580,97","1.580,97","1.545,67","-","-1,36%"
"18.05.2021","1.574,32","1.568,37","1.581,64","1.568,02","-","1,48%"
"17.05.2021","1.551,36","1.554,03","1.562,17","1.539,40","-","0,16%"
"14.05.2021","1.548,93","1.557,45","1.559,34","1.546,47","-","0,13%"
"13.05.2021","1.546,93","1.538,96","1.555,65","1.522,88","-","-0,07%"
"12.05.2021","1.548,02","1.555,92","1.564,72","1.542,63","-","-0,30%"
"11.05.2021","1.552,63","1.547,93","1.558,62","1.538,70","-","-1,16%"
"10.05.2021","1.570,78","1.577,52","1.583,48","1.565,08","-","-0,43%"
"07.05.2021","1.577,51","1.561,46","1.577,51","1.557,08","-","1,73%"
"06.05.2021","1.550,64","1.533,18","1.552,78","1.532,37","-","0,97%"
"05.05.2021","1.535,67","1.515,33","1.535,92","1.514,06","-","2,20%"
"04.05.2021","1.502,58","1.489,85","1.511,30","1.489,20","-","1,18%"
"30.04.2021","1.485,03","1.509,70","1.512,29","1.483,30","-","-1,70%"
"29.04.2021","1.510,72","1.526,91","1.530,97","1.504,57","-","0,11%"
"28.04.2021","1.509,06","1.517,74","1.519,37","1.502,01","-","-0,46%"
"27.04.2021","1.516,01","1.517,40","1.525,61","1.507,32","-","-0,22%"
"26.04.2021","1.519,33","1.515,84","1.524,50","1.510,05","-","0,49%"
"23.04.2021","1.511,85","1.509,02","1.516,65","1.499,32","-","0,67%"
"22.04.2021","1.501,77","1.473,25","1.502,76","1.466,16","-","2,57%"
"21.04.2021","1.464,17","1.458,92","1.471,16","1.451,86","-","0,60%"
"20.04.2021","1.455,43","1.482,48","1.490,63","1.450,56","-","-1,43%"
"19.04.2021","1.476,58","1.488,08","1.493,02","1.471,95","-","-1,37%"
"16.04.2021","1.497,05","1.484,25","1.497,05","1.483,71","-","1,51%"
"15.04.2021","1.474,85","1.437,95","1.474,85","1.435,54","-","-1,02%"
"14.04.2021","1.490,00","1.488,52","1.490,00","1.475,00","-","2,16%"
"13.04.2021","1.458,51","1.438,56","1.459,44","1.432,36","-","1,82%"
"12.04.2021","1.432,48","1.412,29","1.444,85","1.409,51","-","1,04%"
"09.04.2021","1.417,77","1.434,27","1.434,71","1.417,05","-","-1,57%"
"08.04.2021","1.440,43","1.439,51","1.446,38","1.427,86","-","0,76%"
"07.04.2021","1.429,51","1.414,27","1.436,87","1.406,33","-","0,19%"
"06.04.2021","1.426,86","1.459,13","1.461,17","1.423,30","-","-2,08%"
"05.04.2021","1.457,13","1.465,04","1.465,04","1.446,29","-","-0,65%"
"02.04.2021","1.466,71","1.472,31","1.472,75","1.462,98","-","0,64%"
"01.04.2021","1.457,37","1.479,37","1.487,27","1.454,07","-","-1,34%"
"31.03.2021","1.477,11","1.465,46","1.481,04","1.462,64","-","1,15%"
"30.03.2021","1.460,32","1.473,27","1.478,36","1.451,97","-","-0,53%"
"29.03.2021","1.468,14","1.453,11","1.468,14","1.453,11","-","1,26%"
"26.03.2021","1.449,85","1.443,85","1.456,70","1.440,01","-","2,31%"
"25.03.2021","1.417,16","1.434,34","1.440,29","1.413,15","-","-1,39%"
"24.03.2021","1.437,18","1.426,50","1.443,93","1.423,25","-","0,11%"
"23.03.2021","1.435,67","1.459,51","1.459,51","1.425,27","-","-2,18%"
"22.03.2021","1.467,62","1.473,49","1.479,85","1.461,46","-","-0,44%"
"19.03.2021","1.474,05","1.471,70","1.491,33","1.461,25","-","-0,99%"
"18.03.2021","1.488,72","1.513,39","1.522,42","1.485,00","-","-0,33%"
"17.03.2021","1.493,66","1.543,06","1.547,81","1.490,71","-","-3,81%"
"16.03.2021","1.552,81","1.555,69","1.555,74","1.531,49","-","0,57%"
"15.03.2021","1.543,99","1.529,62","1.550,49","1.528,29","-","1,61%"
"12.03.2021","1.519,50","1.504,84","1.519,69","1.500,50","-","0,95%"
"11.03.2021","1.505,22","1.489,11","1.505,22","1.483,58","-","1,73%"
"10.03.2021","1.479,57","1.479,41","1.498,32","1.472,73","-","-0,15%"
"09.03.2021","1.481,85","1.450,71","1.489,68","1.448,64","-","2,38%"
"05.03.2021","1.447,46","1.432,87","1.458,05","1.423,89","-","-0,50%"
"04.03.2021","1.454,67","1.451,65","1.462,83","1.435,17","-","0,07%"
"03.03.2021","1.453,61","1.465,95","1.477,98","1.450,65","-","0,08%"
"02.03.2021","1.452,48","1.428,08","1.458,50","1.424,98","-","0,66%"
"01.03.2021","1.443,02","1.422,57","1.445,17","1.419,57","-","2,20%"
"26.02.2021","1.411,93","1.414,05","1.435,66","1.401,78","-","-2,65%"
"25.02.2021","1.450,39","1.461,85","1.471,06","1.443,21","-","0,31%"
"24.02.2021","1.445,91","1.452,36","1.468,28","1.445,10","-","-0,65%"
"22.02.2021","1.455,33","1.466,66","1.470,35","1.434,84","-","-0,72%"
"20.02.2021","1.465,82","1.468,48","1.469,59","1.462,92","-","-0,44%"
"19.02.2021","1.472,33","1.448,60","1.474,20","1.440,40","-","1,77%"
"18.02.2021","1.446,70","1.475,00","1.478,99","1.443,69","-","-1,07%"
"17.02.2021","1.462,35","1.493,48","1.499,14","1.457,39","-","-2,16%"
"16.02.2021","1.494,58","1.504,63","1.508,95","1.483,10","-","-0,12%"
"15.02.2021","1.496,40","1.479,53","1.498,10","1.479,53","-","2,35%"
"12.02.2021","1.461,99","1.456,27","1.461,99","1.420,36","-","0,05%"
"11.02.2021","1.461,33","1.450,83","1.462,01","1.447,97","-","0,90%"
"10.02.2021","1.448,31","1.465,79","1.471,89","1.447,88","-","-0,66%"
"09.02.2021","1.457,87","1.467,41","1.474,79","1.456,26","-","-0,30%"
"08.02.2021","1.462,22","1.440,22","1.462,80","1.440,22","-","2,13%"
"05.02.2021","1.431,76","1.417,26","1.431,76","1.417,26","-","2,07%"
"04.02.2021","1.402,71","1.392,23","1.413,31","1.389,97","-","1,13%"
"03.02.2021","1.387,00","1.385,32","1.398,94","1.377,16","-","-0,86%"
"02.02.2021","1.398,99","1.375,46","1.406,62","1.375,46","-","2,57%"
"01.02.2021","1.363,96","1.367,53","1.378,97","1.362,64","-","-0,27%"
"29.01.2021","1.367,64","1.383,16","1.383,16","1.361,73","-","-1,23%"
"28.01.2021","1.384,64","1.378,58","1.391,02","1.365,13","-","-0,60%"
"27.01.2021","1.393,02","1.425,59","1.431,21","1.382,21","-","-2,10%"
"26.01.2021","1.422,95","1.415,26","1.425,81","1.403,34","-","0,77%"
"25.01.2021","1.412,02","1.422,30","1.444,44","1.409,47","-","-0,44%"
"22.01.2021","1.418,29","1.452,51","1.452,51","1.413,12","-","-3,11%"
"21.01.2021","1.463,84","1.491,79","1.500,03","1.452,80","-","-1,55%"
"20.01.2021","1.486,90","1.476,75","1.494,97","1.475,65","-","1,11%"
"19.01.2021","1.470,63","1.480,80","1.492,72","1.466,66","-","-0,29%"
"18.01.2021","1.474,86","1.472,00","1.477,68","1.456,73","-","0,04%"
"15.01.2021","1.474,28","1.499,87","1.507,06","1.470,92","-","-1,75%"
"14.01.2021","1.500,58","1.478,41","1.505,57","1.466,25","-","0,93%"
"13.01.2021","1.486,77","1.494,18","1.503,21","1.473,29","-","0,12%"
"12.01.2021","1.484,96","1.474,34","1.496,04","1.467,96","-","1,25%"
"11.01.2021","1.466,56","1.467,85","1.488,56","1.450,55","-","0,00%"
"08.01.2021","1.466,50","1.444,76","1.481,84","1.444,76","-","2,07%"
"06.01.2021","1.436,71","1.435,51","1.446,21","1.424,87","-","0,74%"
"05.01.2021","1.426,11","1.410,89","1.428,70","1.386,56","-","0,09%"
"04.01.2021","1.424,84","1.399,64","1.439,61","1.398,82","-","2,69%"
"30.12.2020","1.387,46","1.393,96","1.403,88","1.382,88","-","-0,79%"
"29.12.2020","1.398,48","1.396,52","1.405,90","1.395,08","-","0,52%"
"28.12.2020","1.391,31","1.379,64","1.396,97","1.379,64","-","0,94%"
"25.12.2020","1.378,36","1.379,84","1.384,06","1.376,62","-","0,00%"
"24.12.2020","1.378,33","1.365,31","1.378,33","1.358,22","-","0,85%"
"23.12.2020","1.366,76","1.338,20","1.367,27","1.335,76","-","1,13%"
"22.12.2020","1.351,43","1.339,03","1.359,91","1.327,89","-","1,16%"
"21.12.2020","1.335,93","1.394,52","1.394,52","1.326,65","-","-4,75%"
"18.12.2020","1.402,50","1.418,81","1.419,41","1.386,34","-","-1,18%"
"17.12.2020","1.419,22","1.407,69","1.434,65","1.407,69","-","1,37%"
"16.12.2020","1.400,05","1.399,42","1.407,86","1.388,15","-","0,69%"
"15.12.2020","1.390,46","1.387,15","1.409,26","1.382,95","-","-0,55%"
"14.12.2020","1.398,12","1.421,88","1.432,73","1.397,49","-","-1,04%"
"11.12.2020","1.412,88","1.404,78","1.413,56","1.395,77","-","0,58%"
"10.12.2020","1.404,68","1.362,07","1.404,68","1.360,06","-","2,35%"
"09.12.2020","1.372,47","1.364,46","1.382,75","1.364,46","-","0,57%"
"08.12.2020","1.364,66","1.362,32","1.375,75","1.354,75","-","-0,31%"
"07.12.2020","1.368,86","1.352,22","1.368,86","1.341,40","-","0,85%"
"04.12.2020","1.357,39","1.342,06","1.358,63","1.342,06","-","1,34%"
"03.12.2020","1.339,41","1.336,84","1.339,41","1.321,42","-","0,30%"
"02.12.2020","1.335,44","1.308,61","1.335,44","1.305,87","-","1,86%"
"01.12.2020","1.311,05","1.283,56","1.312,69","1.283,56","-","2,27%"
"30.11.2020","1.281,97","1.300,14","1.300,14","1.281,00","-","-1,57%"
"27.11.2020","1.302,43","1.303,47","1.306,01","1.291,17","-","-0,36%"
"26.11.2020","1.307,14","1.310,04","1.316,57","1.298,60","-","0,41%"
"25.11.2020","1.301,83","1.298,86","1.309,54","1.287,36","-","1,14%"
"24.11.2020","1.287,12","1.270,34","1.288,71","1.265,88","-","2,41%"
"23.11.2020","1.256,81","1.267,92","1.287,36","1.255,80","-","-0,47%"
"20.11.2020","1.262,69","1.263,65","1.269,02","1.256,21","-","0,30%"
"19.11.2020","1.258,91","1.270,45","1.270,45","1.251,53","-","-1,40%"
"18.11.2020","1.276,75","1.258,77","1.282,07","1.253,23","-","1,45%"
"17.11.2020","1.258,46","1.274,26","1.276,81","1.246,71","-","-0,80%"
"16.11.2020","1.268,61","1.243,10","1.268,61","1.243,10","-","3,33%"
"13.11.2020","1.227,78","1.224,72","1.233,84","1.218,52","-","-0,86%"
"12.11.2020","1.238,45","1.224,64","1.239,78","1.219,15","-","0,38%"
"11.11.2020","1.233,81","1.236,14","1.254,16","1.231,47","-","0,08%"
"10.11.2020","1.232,87","1.224,45","1.240,78","1.212,61","-","-0,28%"
"09.11.2020","1.236,30","1.187,84","1.242,24","1.187,32","-","4,92%"
"06.11.2020","1.178,28","1.163,85","1.178,28","1.151,74","-","0,64%"
"05.11.2020","1.170,74","1.121,24","1.172,14","1.121,24","-","5,65%"
"03.11.2020","1.108,15","1.077,20","1.109,71","1.077,20","-","3,63%"
"02.11.2020","1.069,33","1.062,09","1.075,12","1.039,51","-","0,26%"
"30.10.2020","1.066,60","1.078,02","1.078,37","1.056,02","-","-1,15%"
"29.10.2020","1.078,96","1.075,40","1.091,43","1.062,70","-","0,06%"
"28.10.2020","1.078,29","1.124,23","1.124,23","1.070,68","-","-4,69%"
"27.10.2020","1.131,36","1.146,56","1.151,66","1.126,60","-","-1,82%"
"26.10.2020","1.152,33","1.163,89","1.165,58","1.151,45","-","-1,01%"
"23.10.2020","1.164,06","1.154,25","1.166,51","1.149,13","-","0,76%"
"22.10.2020","1.155,24","1.143,17","1.155,39","1.137,14","-","1,03%"
"21.10.2020","1.143,42","1.145,30","1.151,94","1.136,76","-","0,24%"
"20.10.2020","1.140,69","1.130,26","1.143,82","1.123,08","-","0,49%"
"19.10.2020","1.135,12","1.131,43","1.137,07","1.128,80","-","0,20%"
"16.10.2020","1.132,80","1.137,25","1.138,87","1.121,29","-","0,05%"
"15.10.2020","1.132,29","1.156,18","1.156,44","1.128,06","-","-2,41%"
"14.10.2020","1.160,30","1.157,02","1.164,67","1.151,51","-","0,36%"
"13.10.2020","1.156,11","1.162,18","1.169,80","1.151,18","-","-0,58%"
